term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),-0.5999326451131056,NA,0.043970074004268146,-13.644112699352531,8.241387043887811e-42
profile1,-0.12656605148145061,-0.0333670427582853,0.14057009020270878,-0.9003768248205314,0.3679532039190786
profile2,0.11599945847042376,0.024741472752496666,0.17494925184516305,0.6630463248456062,0.5073244662098577
profile3,0.07712672505228789,0.023613620793769104,0.12055374461321022,0.6397704633708772,0.522344451665048
age,0.02007098162849317,0.02007285652546184,0.012961524998931167,1.548504642019227,0.12154967144433916
sex,0.34077603891440594,0.17067742905128302,0.027301645139265144,12.481886610719398,2.383934187735366e-35
fas,0.0021840096535728735,0.0021714846095781,0.012101784489505874,0.1804700501373784,0.8567892074966472
profile1:sex,0.4091364659381853,0.16283137752182555,0.09270912118553079,4.4131198819090915,1.035426913109862e-5
profile2:sex,0.2590860909806232,0.08457602068697562,0.11372225210181273,2.278235667973492,0.022744942226511876
profile3:sex,0.15349552191258523,0.06980810792401262,0.08059788001801169,1.9044610339413726,0.0568943990057646
