term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),-0.5239597482230621,NA,0.040281627239469854,-13.007412662556527,3.3699415894843316e-38
profile1,-0.2646549919700084,-0.037220063697267894,0.2683482802063859,-0.9862369595454944,0.3240540710125851
profile2,-0.3601410109889479,-0.06874585829314882,0.19546031109995737,-1.842527564610156,0.06544417153389262
profile4,0.27876346030476107,0.04247803895105472,0.24652106238651897,1.1307896274910962,0.25818595321338605
age,0.019356468171680144,0.019400914786875542,0.012427206360646805,1.5575880539793892,0.11938030019781176
sex,0.31997115774222945,0.1603265687989138,0.025274586867472693,12.659797741502102,2.678329436633306e-36
fas,0.034708287021728956,0.03422439112329414,0.012321492451906755,2.8168898497647366,0.004863946149645361
profile1:sex,0.527580890310241,0.11495620907719191,0.1730709786687323,3.0483498410213583,0.0023103999825546642
profile2:sex,0.5985386961211316,0.17416282676836498,0.1281840959834731,4.66936784574509,3.0828306546621858e-6
profile4:sex,0.16003776697014943,0.037525672435068734,0.16004567111441897,0.9999506131955054,0.3173721543812774
