term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),-0.5726880204227441,NA,0.04005270872549504,-14.298359303180085,1.121587248803136e-45
profile1,-0.6131571256128383,-0.08602598504202343,0.26700593560954194,-2.2964175841749563,0.021684094727663004
profile2,-0.130609714009439,-0.024970683106000383,0.1934534871866802,-0.6751478916655673,0.49960614209752274
profile4,0.12326648787140965,0.018738512797245255,0.2452886381618958,0.5025364761903529,0.6153074509917824
age,0.08814744162448353,0.08818488351001746,0.012360008946415866,7.131664872301275,1.1005185612349713e-12
sex,0.35714965173105484,0.17859959197991776,0.025139258535882125,14.206849069207149,3.9953557353782756e-45
fas,0.05269166026648659,0.051753825637946324,0.012277569426210585,4.29170126735334,1.799174991238887e-5
profile1:sex,0.6895543785240368,0.14988990482863893,0.17220640409487642,4.004231910818657,6.292163284854821e-5
profile2:sex,0.31516224442415486,0.09163784569611512,0.12715408860973967,2.47858521790399,0.01321598260708301
profile4:sex,0.3337027812790012,0.07805969907208753,0.1592480213980438,2.095490910024584,0.03616647622212478
