term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),-0.6204827884232536,NA,0.036658595153894614,-16.925983819577258,4.4859704880948316e-63
profile1,-0.4040029818962373,-0.04562189645152639,0.30812221730135714,-1.3111777055047755,0.1898386984073878
profile3,-0.31721534294888315,-0.05659126400380142,0.19852065966392976,-1.5978958738394704,0.1101091442609438
profile4,0.21761500618966792,0.027344385039848148,0.270015727652838,0.805934558261946,0.42030666057712074
age,0.07173083701638584,0.07170228386042186,0.011565619759228022,6.202074641019817,5.874143623525228e-10
sex,0.3908827104736964,0.19551235710404327,0.023151236283564615,16.883880656999274,8.921326640048717e-63
fas,0.03111233120633152,0.031028107185781088,0.011254066131244985,2.7645413527430294,0.00571449795334426
profile1:sex,0.6083308834558572,0.10626128567993495,0.1991016022816552,3.055379145544463,0.002255821478042619
profile3:sex,0.5824064595488802,0.16415446005750678,0.1257371376550647,4.631936676867885,3.6849469801530273e-6
profile4:sex,0.31604855822279887,0.058546339157270366,0.182935121618615,1.727653801120269,0.0840923230732993
